"TITLE_ID","PERSON_ID","PERSON_ROLE"
3364298,5346064,"producer"
33643382,16586731,"director"
33647195,14031578,"actress"
33647195,6272922,"actor"
3364788,1842630,"cinematographer"
33649571,16586593,"writer"
33649571,16586593,"producer"
3365346,2456207,"director"
3365346,4926291,"cinematographer"
33655825,16588213,"actress"
33658805,1704344,"producer"
3365920,4664693,"director"
3367142,6119638,"writer"
3367250,6119727,"actress"
33676269,4539598,"composer"
33677389,2023554,"producer"
33682236,16590411,"director"
33682727,1862032,"producer"
33684347,10376710,"actress"
33684358,16450816,"actor"
3368510,4131486,"editor"
3368526,327384,"producer"
33690091,2332221,"producer"
33692494,15960947,"actress"
3369286,2982565,"actress"
33694394,16591756,"actress"
3369676,507542,"composer"
33696884,13484442,"producer"
3369792,6532980,"actor"
33704329,12289296,"cinematographer"
33704329,495576,"editor"
33705945,12757080,"editor"
33708076,1169526,"producer"
33708611,14979972,"editor"
33712667,2251279,"writer"
33713605,17164445,"actor"
33714066,16594438,"actor"
3371538,6128992,"actor"
3371538,3302351,"producer"
3371582,1376997,"actor"
3371698,4078303,"writer"
33734662,2164330,"writer"
33734978,6823656,"actor"
33738802,6947061,"composer"
3373884,1236525,"writer"
3374224,6123543,"cinematographer"
33743315,12091725,"actor"
3375070,278523,"actor"
3375070,3466205,"actor"
3375070,6124101,"director"
3375108,1293820,"actress"
33751275,2072329,"actress"
33751275,2065477,"writer"
33752610,13446697,"actress"
33752610,10430090,"actor"
33756231,5263126,"writer"
3375962,6274856,"actress"
33760026,1963334,"director"
33760366,12654558,"actor"
33760533,17037061,"actor"
3376194,6125658,"cinematographer"
33763941,4217,"director"
33764297,7042519,"casting_director"
3376596,11911624,"actor"
33772689,1733034,"director"
33772708,4765525,"actor"
33773297,11023646,"actor"
3377670,6127053,"actor"
3377798,1784327,"writer"
3377896,840943,"writer"
3378448,6419239,"self"
3378448,6125585,"producer"
33794261,4180521,"cinematographer"
3379470,273415,"actor"
33796394,10120594,"actress"
33796785,17332953,"self"
3379694,1097739,"actor"
3379814,680,"actor"
33798390,12676332,"writer"
33799427,16603751,"actress"
3380298,6146714,"self"
33805888,3397660,"actor"
